Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Como a cultura francesa influenciou a colônia?;Imigrantes franceses promoviam o ensino da língua, modistas e costureiras ofereciam serviços para vestir à moda europeia, e governantas e professoras francesas eram valorizadas.
Que tipos de produtos europeus chegavam à colônia para o luxo?;Rendas, leques, perfumes, chapéus, joias, galões, bordados de ouro e prata, botas e sapatos de seda.
Que tipos de literatura francesa circulavam no Brasil a partir de 1815?;Novelas românticas, obras iluministas, poemas épicos, cantatas, peças de teatro e livros de religião, filosofia, ciências, artes e história.
Cite duas novelas francesas traduzidas e publicadas no Brasil no início do século XIX.;Diabo coxo de Alain-René Lesage (1809) e Paulo e Virgínia de Bernardin de Saint Pierre (1811).
Quais objetos de luxo passaram a chegar à elite brasileira com a abertura do comércio?;Relógios de parede, candelabros de cristal, lustres, camas de sofá com cortinado, leitos de acaju com cortinas, mesas de chá e costura em jacarandá, quadros, porcelanas, cristais, vidros, joias, espartilhos, biombos, entre outros.
Quais eram os principais produtos de exportação do Brasil no início do século XIX?;Algodão, café, mandioca, peles, banha, crina, penas, arroz, fumo, anil, madeiras, essências para farmácia, ouro e pedras preciosas.
Quais produtos importados abasteciam o mercado brasileiro?;Ferro, aço, artefatos de cobre, farinha, sal, fazendas de lã, louças, vidros, pólvora, chapéus, botas, sapatos, quinquilharias e artigos de moda, principalmente da França e Inglaterra.
Como era a atividade comercial entre Brasil e Inglaterra?;Comércio atacado e varejo bastante ativo, com abundância e variedade de produtos ingleses e franceses, às vezes mais baratos que em Berlim.
Que tipos de eventos e festas animavam as cidades coloniais brasileiras?;Procissões religiosas, foguetórios, leilões, batuques, fandangos, cavalhadas, queima do Judas, festas do Imperador do Espírito Santo, aniversários da realeza, e datas religiosas diversas.
Quais eram as sete principais procissões religiosas da época?;São Sebastião (28/01), Santo Antônio (Quarta-feira de Cinzas), Triunfo (sexta-feira antes do Domingo de Ramos), Senhor dos Passos (segunda-feira da Quaresma), Enterro (Sexta-feira Santa), Corpo de Deus, Visitação (2 de julho).
Quem comandava as festas religiosas, cívicas e populares?;"Clérigos comandavam as religiosas; representantes do príncipe regiam as cívicas e oficiais; imperadores do Divino e figuras do imaginário popular lideravam outras procissões."
Que função política as festas e procissões tinham no Brasil colonial?;Serviam para manutenção do poder político, vinculando a imagem do príncipe à representação do Império português, reforçando a autoridade real.
Que fato marcou o calendário festivo do Brasil em 1815?;A elevação do Brasil à condição de Reino Unido a Portugal e Algarves, com grandes comemorações em 16 de dezembro.
Como reagiu parte da população portuguesa às festas do Brasil após a elevação a Reino Unido?;Houve manifestações iradas e críticas, como as do Marrocos, que chamou as festas de “função mais porca” e criticou os gastos excessivos.
Quais eram os principais produtos importados no Brasil, conforme seus países de origem?;"Reino Unido: fazendas, metais, gêneros alimentícios, vinhos espanhóis; França: artigos de luxo, móveis, livros, sedas, manteigas, licores; Holanda: cerveja, vidros, linho; Áustria: relógios, pianos, veludos; Alemanha: brinquedos, utensílios de ferro; Rússia e Suécia: utensílios de ferro e cobre; África: ouro em pó, marfim, pimenta, azeite de dendê, escravos."
Qual era a nota triste nas relações comerciais entre Brasil e África?;O comércio de escravos negros fazia parte da relação econômica entre a costa africana e o Brasil.
Quando morreu d. Maria I e como foi sua morte marcada na colônia?;"Morreu em 20 de março de 1816; a morte foi marcada por luto oficial, ladainhas, preces, decorações roxas e pompa real nas igrejas, com missa e um ano de luto público na cidade."
Qual era o impacto político da morte de d. Maria I?;A morte abriu espaço para a aclamação do novo rei, d. João, na colônia, em meio a pressões portuguesas para seu retorno imediato.
Quem chefiava o grupo de artistas franceses que chegaram ao Brasil em 1816?;Joaquim Lebreton, secretário da classe de belas-artes da Academia de França.
Quais artistas franceses vieram ao Brasil em 1816 e suas especialidades?;Jean-Baptiste Debret (pintor neoclássico), Montigny (arquiteto), Nicolas-Antoine Taunay (pintor de história e paisagem).
Qual o objetivo do grupo francês ao chegar ao Brasil?;Implantar as artes a partir do zero, usando o modelo acadêmico e neoclássico para criar uma iconografia patriótica e dar grandiosidade à corte imigrada.
Por que os artistas franceses viram a vinda ao Brasil como uma oportunidade?;"Para ""fazer a América"", recuperar seus bens perdidos, afastar-se da Europa em guerra e ganhar novos repertórios culturais."
Como o governo de d. João viu a vinda dos artistas franceses?;Como uma maneira de contar com a arte acadêmica francesa, que funcionava como exército de pintores a serviço do Estado.
Qual foi a reação do representante francês Maller à chegada dos artistas napoleônicos?;Foi ambivalente: via como exílio disfarçado de simpatizantes do império francês, mas não conseguiu se opor pois os artistas não estavam ameaçados pela polícia.
Qual foi a principal função dos artistas franceses após a morte de d. Maria I?;Construir cenários e dar grandiosidade à corte, produzindo arte neoclássica que relegou o barroco e propagou a memória da monarquia.
Como era a produção artística antes da chegada dos franceses?;Produção local feita por mestres-aprendizes, mestiços e negros sem formação acadêmica, com arte voltada para demandas religiosas e civis, e considerada pouco honrosa.
Por que a arte neoclássica francesa foi aceita na colônia?;Porque trazia um estilo acadêmico, engajado politicamente, a serviço do Estado, e podia criar uma memória oficial e patriótica.
Como os artistas franceses se relacionavam com a corte e o mercado de arte local?;Filiação exclusiva à família real, trabalhando conforme a agenda da monarquia, para eventos oficiais e festas, sem mercado de arte aberto ao público.
Que mudanças simbólicas ocorriam nas cerimônias da corte após a morte de d. Maria I?;Substituição dos ornatos fúnebres por arcos triunfais, obeliscos e iluminações para celebrar aclamação e eventos festivos.
Qual era a grande efetivação dos artistas franceses no Brasil?;"Construção de fachadas, edificações e ""miragens"" que tentavam aproximar a representação neoclássica europeia da realidade colonial marcada pela escravidão."
Como era a entrada de estrangeiros no Brasil antes da chegada da corte em 1808?;Era muito restrita, com poucas autorizações para evitar roubo de plantas e proteger as fronteiras.
Qual mudança ocorreu na entrada de estrangeiros no Brasil após a abertura dos portos?;O Brasil passou a receber muitos estrangeiros – cientistas, viajantes, religiosos e curiosos interessados na natureza e na civilização local.
Como Sérgio Buarque de Holanda divide as incursões científicas no Brasil?;"Em dois períodos: até 1808 predominavam viagens luso-brasileiras com objetivos naturalistas ou geopolíticos; depois, houve maior participação de potências estrangeiras e menor de luso-brasileiros."
Quem foi Alexander von Humboldt e qual foi sua experiência no Brasil?;"Cientista alemão que visitou a Amazônia; foi preso por autoridades portuguesas por suspeitas ao explorar o território."
Por que o livro de Antonil foi apreendido e destruído?;Para evitar que despertasse cobiça de outras nações pela riqueza do Brasil.
Quais as características da política portuguesa em relação à entrada de estrangeiros?;Muito restritiva, permitindo permanência basicamente só de compatriotas, diferentemente dos espanhóis.
Quem foi Alexandre Rodrigues Ferreira e qual sua importância?;Cientista que, entre 1783 e 1792, percorreu capitanias do interior brasileiro para descrever a história natural e enviar informações à metrópole.
O que mudou no reinado de d. João em relação a estrangeiros no Brasil?;O Brasil se tornou um ponto de encontro para estrangeiros de diversas formações, com variados objetivos científicos e exploratórios.
Quais eram os objetivos gerais dos exploradores e cientistas estrangeiros no Brasil?;"Coletar plantas, peles, esqueletos, minerais, dados geográficos e culturais, tratando tudo como uma ""situação tropical"" indivisa."
Qual o espírito que muitos desses viajantes estrangeiros carregavam?;Um espírito missionário, como se viessem ensinar novas formas de reconhecer e classificar o Brasil.
"Quem eram ""piratas científicos"" no contexto das missões estrangeiras?";Cientistas que coletavam espécimes e objetos para museus e coleções estrangeiras, retornando com grandes acervos.
Cite alguns visitantes estrangeiros importantes que vieram ao Brasil no período.;Chamberlain (entomologista inglês), von Langsdorf (prussiano), conde Hogendorp (emigrado político).
Quem acompanhou o barão de Langsdorf em sua missão científica?;O pintor Rugendas, o botânico francês Ménétries, o jardineiro Riedel, o naturalista Freyreiss e o astrônomo Rubtsov.
Que tipo de coleção o príncipe Maximiliano I da Baviera levou do Brasil?;Um herbário com 5 mil plantas brasileiras, centenas de insetos e outros exemplares naturais, além de um pequeno botocudo vivo.
Quem foi Charles Othon Frédéric Jean Baside, conde de Clarac?;Conservador do Louvre e embaixador francês, fez centenas de desenhos da natureza tropical durante sua breve estada no Brasil em 1816.
Qual a importância do botânico Auguste de Saint-Hilaire no Brasil?;Naturalista do Museu de História Natural de Paris que coletou centenas de espécimes entre 1816 e 1822, enviando-os para França e Martinica.
Qual evento marcou a presença germânica no Brasil em 1817?;O casamento da Arquiduquesa d. Leopoldina com d. Pedro.
Quais foram as duas missões científicas germânicas que chegaram ao Brasil em 1817?;A missão austríaca (Mikan, Buchberger, Natterer, Raddi, Pohl, Schott) e a missão bávara (Spix e Martius).
Quais áreas de estudo eram foco das missões austríaca e bávara no Brasil?;Zoologia, botânica, medicina e etnologia.
