A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
A imposição de normas sanitárias para importação de produtos é uma forma de facilitar o comércio internacional.;❌ Errado. As normas sanitárias, embora protejam a saúde pública, podem ser vistas como barreiras comerciais ao restringir a entrada de certos produtos.
Os subsídios podem levar as empresas a se tornarem mais eficientes no longo prazo, já que recebem apoio financeiro do governo.;❌ Errado. Os subsídios podem desincentivar as empresas a melhorar sua produtividade, pois elas não dependem diretamente da competição de mercado.
O objetivo principal das quotas é incentivar o comércio internacional, aumentando as importações.;❌ Errado. O objetivo das quotas é restringir as importações, limitando a quantidade de um produto que pode ser importado.
O governo pode usar subsídios para ajudar as empresas a se tornarem mais competitivas no mercado interno e externo.;✅ Certo. Subsídios reduzem os custos de produção, tornando os produtos mais competitivos tanto no mercado doméstico quanto no internacional.
O efeito das quotas sobre a economia de um país é sempre positivo, pois protege a produção local.;❌ Errado. Embora as quotas protejam os produtores locais, elas podem causar aumento de preços e reduzir a eficiência econômica.
Quotas podem ser usadas como uma forma de proteger empregos na indústria local.;✅ Certo. As quotas podem reduzir a concorrência externa e, assim, proteger empregos na indústria local.
O governo pode usar subsídios para tornar seus produtos mais acessíveis ao mercado doméstico.;✅ Certo. Subsídios ajudam a reduzir o custo de produção, permitindo que os preços para os consumidores internos sejam mais baixos.
Quotas são uma forma de impedir o dumping, já que limitam a quantidade de produtos importados a preços muito baixos.;✅ Certo. As quotas podem ser usadas para limitar a entrada de produtos a preços baixos que podem prejudicar os produtores locais, combatendo o dumping.
A política de antidumping visa proteger os produtores locais da prática de vender produtos abaixo do preço de mercado.;✅ Certo. A política antidumping aplica tarifas extras a produtos vendidos abaixo do valor de mercado para proteger a indústria local.
As quotas não têm efeito nas relações comerciais internacionais, já que são apenas uma medida interna.;❌ Errado. As quotas podem gerar tensões comerciais com outros países, que podem reagir com suas próprias restrições.
A imposição de quotas pode beneficiar os produtores locais, mas prejudica os consumidores devido aos preços mais altos.;✅ Certo. As quotas reduzem a competição externa, permitindo que os produtores locais aumentem seus preços, o que pode prejudicar os consumidores.
Uma política comercial pode ser usada tanto para proteger indústrias nacionais quanto para abrir o mercado para produtos estrangeiros.;✅ Certo. A política comercial pode ter objetivos variados, dependendo da estratégia econômica do governo, incluindo proteger indústrias locais ou permitir maior acesso a produtos estrangeiros.
A proteção das indústrias locais sempre resulta em benefícios para os consumidores.;❌ Errado. A proteção das indústrias locais pode aumentar os custos para os consumidores, já que eles têm menos opções e os preços podem ser mais altos devido à menor concorrência.
A abertura ao comércio internacional pode resultar em maior competitividade, mas também pode levar à perda de empregos em setores não competitivos.;✅ Certo. A abertura ao comércio pode aumentar a eficiência e acesso a novos mercados, mas pode prejudicar indústrias locais não competitivas, resultando em perda de empregos.
A proteção de indústrias locais pode reduzir a competitividade da economia.;✅ Certo. Ao proteger indústrias locais, pode-se reduzir a competitividade, pois as empresas não precisam melhorar sua produtividade devido à falta de concorrência externa.
O crescimento econômico é sempre garantido com a abertura do mercado para o comércio internacional.;❌ Errado. Embora a abertura ao comércio possa trazer benefícios, também pode prejudicar setores locais não competitivos, resultando em desemprego em algumas áreas.
O protecionismo pode criar tensões internacionais e prejudicar as relações comerciais globais.;✅ Certo. A imposição de tarifas, quotas e subsídios pode gerar retaliações de outros países, criando um ciclo de protecionismo que prejudica o comércio global.
A imposição de tarifas e quotas pode aumentar a competitividade das indústrias locais.;✅ Certo. A proteção por tarifas e quotas pode diminuir a concorrência externa, permitindo que as indústrias locais aumentem sua produção e se tornem mais competitivas.
O protecionismo pode gerar benefícios temporários para as indústrias locais, mas a longo prazo prejudica a economia.;✅ Certo. Embora o protecionismo possa beneficiar temporariamente as indústrias locais, a longo prazo, ele pode reduzir a competitividade e aumentar os preços para os consumidores.
A abertura ao comércio internacional pode beneficiar setores que têm uma vantagem competitiva no mercado global.;✅ Certo. Setores com vantagem competitiva podem se beneficiar do acesso a novos mercados e do aumento das exportações.
O protecionismo sempre é a melhor opção para países em desenvolvimento.;❌ Errado. O protecionismo pode ser útil em alguns casos, mas também pode limitar o acesso a tecnologias avançadas e reduzir a competitividade da economia local.
O comércio internacional pode aumentar a eficiência das empresas, permitindo-lhes se especializarem em áreas onde têm vantagem comparativa.;✅ Certo. O comércio internacional permite que as empresas se especializem e se beneficiem das vantagens comparativas, aumentando a eficiência.
A imposição de barreiras comerciais, como tarifas e quotas, pode estimular a inovação nas indústrias locais.;❌ Errado. Embora a proteção possa dar algum espaço para as indústrias locais, ela pode desincentivar a inovação, já que as empresas não enfrentam concorrência estrangeira.
O crescimento econômico de um país depende unicamente de sua política comercial.;❌ Errado. O crescimento econômico depende de uma combinação de fatores, incluindo políticas fiscais, investimentos, infraestrutura e fatores externos, além da política comercial.
A política comercial de um país pode ter um impacto negativo nas relações internacionais, se for excessivamente protecionista.;✅ Certo. O protecionismo pode resultar em retaliações de outros países, prejudicando as relações comerciais e o comércio global.
O aumento de tarifas e quotas pode diminuir a eficiência econômica global.;✅ Certo. A imposição de tarifas e quotas pode reduzir a eficiência ao distorcer a alocação de recursos e reduzir a competitividade.
O comércio internacional sempre traz benefícios para todos os países envolvidos.;❌ Errado. Embora o comércio internacional traga benefícios, ele pode causar desvantagens para setores não competitivos de certos países, como a perda de empregos.
A política comercial pode ser usada para equilibrar a balança comercial de um país.;✅ Certo. A política comercial pode ser utilizada para reduzir o déficit comercial ou promover o superávit, ajustando as tarifas, quotas e incentivos às exportações.
O protecionismo pode resultar em uma economia menos diversificada.;✅ Certo. O protecionismo tende a concentrar a produção em indústrias locais, o que pode reduzir a diversificação da economia e suas oportunidades de crescimento.
A abertura ao comércio internacional sempre leva a uma maior igualdade econômica entre países.;❌ Errado. Embora o comércio possa trazer benefícios, ele pode também aumentar as disparidades econômicas, especialmente se alguns setores não conseguem competir no mercado global.
A imposição de tarifas pode ser uma maneira de proteger o emprego local, mas não necessariamente leva a um aumento da produtividade.;✅ Certo. A proteção por tarifas pode preservar empregos, mas não garante que as indústrias locais se tornem mais produtivas ou competitivas.
A redução das tarifas de importação pode prejudicar a indústria local, mas também pode resultar em menores preços para os consumidores.;✅ Certo. A redução das tarifas pode beneficiar os consumidores com preços mais baixos, mas pode prejudicar as indústrias locais que enfrentam mais concorrência externa.
As quotas são eficazes para garantir que os produtores locais tenham mais espaço no mercado interno.;✅ Certo. As quotas limitam as importações, proporcionando espaço para a produção local crescer e competir no mercado interno.
