O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Quais estilos arquitetônicos predominavam em Viena ao longo da Ringstrasse?;Igrejas em estilo gótico, parlamento em estilo grego, prefeitura combinando renascença com gótico, bolsa de valores em classicismo opulento, museus e universidade em alta renascença, Burgtheater e Opera em estilo Segundo Império com predominância de elementos renascentistas ecléticos.
Qual era a preferência dos burgueses milionários e nobres da Silésia em termos arquitetônicos?;Preferiam o prussiano-neoclássico (ex: Schloss do banqueiro von Eichborn), estilo gótico para os mais aristocráticos (ex: Koppitz e Miechowitz), e misturas da renascença italiana, holandesa e alemã do norte.
Como os ricos judeus expressavam sua identidade cultural na arquitetura?;Preferiam o estilo islâmico-mouro para sinagogas opulentas, afirmando uma aristocracia oriental distinta da ocidental, um raro uso deliberado de modelos não-ocidentais antes da moda japonesa no final do século XIX.
Qual era o significado social da arquitetura burguesa e sua linguagem simbólica?;Expressava a autoconfiança da sociedade burguesa e sua fé no destino histórico, sendo uma linguagem de símbolos sociais mais que expressão de verdades artísticas.
Como a tecnologia e engenharia apareciam na arquitetura do século XIX?;Ficavam escondidas atrás das fachadas históricas, aparecendo de forma explícita apenas em raras ocasiões como no Crystal Palace (1851), Rotunda de Viena (1873) e Torre Eiffel (1889).
Como as estações ferroviárias exemplificam o ecletismo arquitetônico do século XIX?;Estações como London Bridge (1862) eram alucinadamente ecléticas, St. Pancras (1868) era gótica, Südbahnhof em Viena (1869-73) renascentista, todas escondendo as inovações técnicas por trás de fachadas históricas.
Qual era o papel das pontes na arquitetura do período?;"Eram gloriosas em sua engenharia, embora com certo excesso dado o baixo custo e abundância do ferro; a ponte suspensa gótica (Tower Bridge) já aparecia como exemplo de arquitetura funcional com estilo."
Que avanços técnicos começavam a ser incorporados discretamente na arquitetura burguesa?;A decoração Segundo Império escondia inovações como o elevador para passageiros, e as gigantescas cúpulas em mercados, bibliotecas e galerias comerciais (ex: Galeria Vittorio Emanuele em Milão) eram justificativas para a imaginação técnica.
Como a arquitetura do século XIX escondia seus méritos técnicos?;Através do uso persistente de fachadas históricas e simbólicas que disfarçavam a inovação tecnológica e a engenharia avançada que acontecia internamente.
"Por que a arquitetura do século XIX não possuía uma ""verdade"" própria como as outras artes?";Porque não tinha um significado que pudesse ser expresso em palavras, ao contrário das outras artes cujo sentido permitia uma expressão verbal ou representativa.
Qual era a crença dominante em meados do século XIX sobre a forma e o conteúdo da arte?;A crença era que a forma da arte não era importante, e que o conteúdo valia tudo, especialmente porque se acreditava que o conteúdo poderia ser expressado em palavras.
"Por que a literatura era considerada a ""chave artística"" do período?";Porque o conteúdo artístico podia ser expresso em palavras, e a literatura permitia essa expressão com vários graus de adequação, o que tornava a compreensão e apreciação das artes mais acessível.
Como o ideal do Gesamtkunstwerk de Wagner influenciou a concepção das artes?;Esse ideal unia todas as artes numa obra total, onde cada arte deveria ser expressiva também em termos das outras, buscando a integração de várias formas artísticas num único projeto.
Por que era mais fácil transformar uma história numa ópera ou quadros numa composição musical do que o inverso?;"Porque as artes que podiam ser expressas em palavras ou imagens representativas tinham vantagem; transformar música em imagens ou poesia era mais difícil dada a natureza abstrata da música."
Qual era a questão fundamental para o julgamento das artes na metade do século XIX?;"A questão era ""do que se trata?"" ou qual a representação da realidade e da vida nas obras de arte."
"Como o termo ""realismo"" era entendido na época?";Era ambíguo, implicando a tentativa de descrever, representar ou encontrar equivalentes precisos para fatos, imagens, ideias, sentimentos e paixões da vida.
Qual dilema enfrentava a burguesia de meados do século XIX em relação à representação da realidade na arte?;"A imagem aspiracional da burguesia não podia representar toda a realidade, que incluía pobreza e exploração, mas precisava manter uma estabilidade idealizada e um ""realismo"" seletivo ou idealizado."
Como a arte lidava com a tensão entre representar o presente imperfeito e a situação melhor à qual se aspirava?;A arte tinha uma dimensão futura, buscando representar não o presente imperfeito, mas uma realidade melhor e progressista que a sociedade aspirava criar.
"Qual é o significado do ""realismo seletivo"" na arte burguesa?";"Era uma representação cuidadosa e idealizada da realidade, como no ""Angelus"" de Millet, onde a pobreza era apresentada com piedade obediente, evitando os aspectos mais cruéis ou problemáticos da vida."
Quais eram as três formas de escapar ao dilema da representação realista na arte representativa?;"1) Representar toda a realidade, inclusive o desagradável (naturalismo/verismo); 2) Abandonar a realidade contemporânea (arte pela arte ou esteticismo); 3) Adotar uma abordagem visionária ou fantasiosa (ex: Rimbaud, Edward Lear, Lewis Carroll)."
Como a fotografia impactou as artes visuais no século XIX?;Tornou-se um meio de reprodução em massa da realidade, destruindo o monopólio do artista representativo ao oferecer uma reprodução científica e direta da natureza, ameaçando gravuras, litogravuras e retratos artísticos.
Quem popularizou comercialmente a fotografia na França da década de 1850?;Pequenos empreendedores e membros da bohème artística, como Nadar (1820-1911), que obtiveram sucesso artístico e financeiro com a fotografia.
Por que a fotografia teve sucesso especialmente entre a pequena burguesia?;Porque atendia à demanda por retratos baratos e aspiracionais, tornando acessível para a classe média seus próprios retratos, em contraste com a fotografia inglesa, que era mais um hobby experimental.
Como críticos conservadores e artistas reacionários viam a fotografia?;Como uma invasão imprópria da indústria no domínio da arte, ameaçando seriamente a existência de ramos tradicionais da arte como gravuras e retratos, e acreditavam que a fotografia não deveria substituir a arte.
Qual era a visão de Charles Baudelaire sobre fotografia e arte?;Ele acreditava que um verdadeiro artista não confundiria a indústria (fotografia) com a arte, considerando a fotografia como uma técnica subordinada e neutra, análoga à impressão na literatura.
Como os realistas do século XIX reagiam à fotografia, apesar da ameaça que ela representava para a pintura?;"Embora ameaçados, os realistas não eram uniformemente hostis; aceitavam o progresso científico e viam na fotografia uma ferramenta útil para ir além da cópia mecânica, mantendo a inspiração criativa como essência da arte."
Qual era o argumento do crítico naturalista Francis Wey sobre o que constitui um artista?;"Wey argumentava que nem o desenho, nem a cor, nem a exatidão da representação faziam o artista; o que importava era a ""mens divina"", a inspiração do cérebro, enquanto a mão apenas obedecia."
Como o direito de propriedade influenciou o debate sobre a fotografia como arte?;"A proteção legal da ""propriedade artística"" levou os tribunais a reconhecerem a fotografia como arte para garantir o copyright, definindo juridicamente sua condição artística, apesar das complexidades morais e comerciais."
Quais foram os conflitos morais surgidos com a comercialização da fotografia no século XIX?;"A comercialização do corpo feminino em fotos ""nus fotográficos"" gerou controvérsia moral, pois eram consideradas obscenas, gerando conflitos entre valores morais tradicionais e o discurso da arte radical do realismo."
Como a crítica oficial da época via a escola realista e sua representação da realidade?;"Condenava-a por suprimir a beleza idealizada, substituindo ninfas clássicas por figuras ""tristemente notórias"" da vida real, refletindo uma rejeição moral e estética da arte realista."
Por que o realismo era considerado ambíguo e contraditório?;Porque, embora criticasse a sociedade burguesa e abraçasse a ciência, acabava por trivializar o artista acadêmico e enfrentava dificuldades insolúveis na relação entre ciência e imaginação, fato e ideal.
Qual foi o impacto do realismo naturalista de Courbet na história da pintura ocidental?;Marcou o fim da tradição coerente da pintura desde a Renascença italiana, dando lugar a movimentos como o Impressionismo que antecipavam o futuro e divergiam da ligação histórica clássica.
