Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
"O que é o ""Órgão de Exame de Políticas Comerciais"" (OEPC)?";É o órgão da OMC que realiza revisões periódicas das políticas comerciais dos membros.
Com que frequência o OEPC revisa a política comercial do Brasil?;A cada 4 anos (para países com grande participação no comércio mundial).
"O que é o ""Comitê de Agricultura"" da OMC?";É o comitê que monitora a implementação do Acordo sobre Agricultura.
"O que é o ""Comitê de Medidas Antidumping"" da OMC?";É o comitê que monitora a aplicação de medidas antidumping.
"O que é o ""Centro de Comércio Internacional"" (ITC)?";É uma agência conjunta da OMC e da UNCTAD, que apoia a competitividade das pequenas e médias empresas.
"O que é a ""UNCTAD"" e sua relação com a OMC?";A UNCTAD (Conferência das Nações Unidas sobre Comércio e Desenvolvimento) é um órgão da ONU que também trata de comércio e desenvolvimento, com enfoque mais amplo.
"O Brasil defende o ""tratamento especial e diferenciado"" para países em desenvolvimento?";Sim, é uma posição central da política comercial brasileira na OMC.
"O que é o ""Sistema Geral de Preferências"" (SGP)?";É um sistema pelo qual países desenvolvidos concedem tarifas preferenciais a produtos de países em desenvolvimento.
O Brasil é beneficiário do SGP?;O Brasil já foi beneficiário, mas atualmente não é elegível para todos os SGP, devido ao seu nível de desenvolvimento.
"O que é a ""Cláusula de Salvaguarda"" na OMC?";Permite que um membro imponha restrições temporárias a importações que causem dano grave à sua indústria.
O Brasil já aplicou salvaguardas na OMC?;Sim, em casos específicos, como na indústria de brinquedos.
"O que é o ""Acordo sobre Têxteis e Vestuário"" (ATC)?";Foi um acordo que eliminou o sistema de quotas para têxteis, encerrado em 2005.
O Brasil se beneficiou do ATC?;Sim, o Brasil exporta têxteis e se beneficiou da liberalização.
"O que é o ""Acordo sobre Tecnologia da Informação"" (ITA)?";É um acordo plurilateral da OMC que elimina tarifas sobre produtos de tecnologia da informação.
O Brasil é signatário do ITA?;Sim, o Brasil aderiu ao ITA.
"O que é o ""Acordo de Serviços Financeiros"" da OMC?";É um anexo do GATS que regula o comércio de serviços financeiros.
O Brasil adotou compromissos no âmbito do GATS?;Sim, com listas de compromissos específicos em serviços, incluindo financeiros, telecomunicações e profissionais.
"O que é o ""Acordo sobre Telecomunicações"" da OMC?";É um anexo do GATS que regula o comércio de serviços de telecomunicações.
"O Brasil é membro do ""Acordo sobre Telecomunicações""?";Sim, tem compromissos nesse setor.
"O que é o ""Mecanismo de Exame de Políticas Comerciais"" da OMC?";É o processo de revisão das políticas comerciais de cada membro, para garantir transparência.
"O Brasil já foi alvo de ""medidas compensatórias"" na OMC?";Sim, em casos como o do aço e do suco de laranja.
"O Brasil já aplicou ""medidas antidumping""?";Sim, o Brasil é um dos países que mais aplica medidas antidumping no mundo.
"O que é a ""determinação de dano"" no comércio internacional?";É a constatação de que as importações a preços subsidiados ou de dumping causam dano material à indústria doméstica.
"O que é o ""dumping""?";É a prática de exportar um produto a um preço inferior ao valor normal (preço praticado no mercado interno).
"O que é o ""subsídio"" no comércio internacional?";É um benefício financeiro concedido por um governo a uma empresa, que pode distorcer o comércio.
"O que são ""subsídios proibidos"" na OMC?";São subsídios vinculados a requisitos de exportação ou de conteúdo local, proibidos pelo Acordo SCM.
"O que são ""subsídios acionáveis"" na OMC?";São subsídios que podem ser contestados se causarem dano a outro membro.
"O que são ""subsídios não acionáveis"" na OMC?";Eram subsídios para pesquisa e desenvolvimento, mas essa categoria foi extinta.
O Brasil defende a reforma das regras de subsídios agrícolas na OMC?;Sim, o Brasil defende a redução dos subsídios agrícolas dos países desenvolvidos.
"O que é o ""Acordo de Marraqueche"" (1994)?";É o acordo que criou a OMC e inclui todos os acordos multilaterais e plurilaterais.
A OMC tem personalidade jurídica internacional?;Sim, tem personalidade jurídica e privilégios e imunidades.
O Diretor-Geral da OMC é quem atualmente?;Em 2024, a Diretora-Geral é Ngozi Okonjo-Iweala (Nigéria).
O Brasil apoiou a candidatura de Ngozi Okonjo-Iweala?;Sim, o Brasil apoiou a primeira mulher e primeira africana a liderar a OMC.
A OMC realiza Cúpulas Ministeriais?;Sim, a Conferência Ministerial é a principal reunião da OMC.
"O que foi a ""Conferência Ministerial de Seattle"" (1999)?";Foi uma conferência fracassada, marcada por protestos e falta de acordo sobre a nova rodada.
"O que foi a ""Conferência Ministerial de Cancún"" (2003)?";Foi uma conferência que também fracassou devido a divergências sobre agricultura.
"O que é o ""Acordo de Facilitação do Comércio"" (AFC) e qual sua importância?";Reduz a burocracia nas fronteiras, diminuindo custos e tempo para o comércio.
O Brasil implementou o AFC?;Sim, com a criação do Portal Único de Comércio Exterior.
"O que é o ""Órgão de Solução de Controvérsias"" (OSC) da OMC e sua relação com o Conselho Geral?";O OSC é o Conselho Geral da OMC reunido com uma competência específica: a solução de controvérsias.
"A OMC tem um sistema de ""arbitragem"" alternativo ao OSC?";Sim, o DSU prevê a arbitragem como meio alternativo de solução de controvérsias.
O Brasil já usou a arbitragem na OMC?;Sim, em alguns casos, como no litígio com a UE sobre pneus remoldados.
"O que é a ""integração regional"" na OMC?";A OMC permite acordos regionais (ex.: MERCOSUL) como exceção à cláusula NMF, desde que cumpram os requisitos do art. XXIV do GATT.
O MERCOSUL notifica seus acordos à OMC?;Sim, para garantir a conformidade com as regras da OMC.
"O que é a ""Declaração de Doha"" (2001)?";É a declaração que lançou a Rodada Doha, com foco no desenvolvimento.
O Brasil participa ativamente das negociações da Rodada Doha?;Sim, como membro do G20 (grupo de países em desenvolvimento) e do G33.
;
;
O que é o Direito Internacional do Meio Ambiente (DIMA)?;É o ramo do Direito Internacional que estabelece normas e princípios para a proteção do meio ambiente global, incluindo a prevenção da poluição, a conservação da biodiversidade e a gestão sustentável dos recursos naturais.
Quais são os princípios fundamentais do DIMA?;O princípio da prevenção, da precaução, do poluidor-pagador, da cooperação internacional, da informação e participação pública, e da responsabilidade comum, mas diferenciada.
O que é o princípio da prevenção no DIMA?;É a obrigação de prevenir danos ambientais significativos, adotando medidas para evitar a ocorrência de danos.
O que é o princípio da precaução?;É a obrigação de agir preventivamente, mesmo na ausência de certeza científica plena, quando houver ameaça de danos graves ou irreversíveis ao meio ambiente.
O que é o princípio do poluidor-pagador?;É o princípio que atribui ao poluidor o custo das medidas de prevenção, controle e reparação dos danos ambientais.
O que é o princípio da responsabilidade comum, mas diferenciada?;Reconhece que todos os Estados têm responsabilidade pela proteção ambiental, mas que os países desenvolvidos têm maior responsabilidade histórica e capacidade financeira e tecnológica.
O que é o princípio da cooperação internacional no DIMA?;É a obrigação dos Estados de cooperar entre si e com organizações internacionais para a proteção do meio ambiente.
O que é o princípio da informação e participação pública?;É o direito do público de ter acesso à informação ambiental e de participar dos processos decisórios que afetam o meio ambiente.
Qual é o principal tratado da ONU sobre mudança climática?;A Convenção-Quadro das Nações Unidas sobre Mudança do Clima (UNFCCC), adotada em 1992 (Rio-92).
O que é o Protocolo de Quioto (1997)?;É um tratado internacional que estabeleceu metas de redução de emissões de gases de efeito estufa para países desenvolvidos, para o período de 2008-2012.
O que é o Acordo de Paris (2015)?;É o acordo global sobre mudanças climáticas, adotado sob a UNFCCC, que estabelece o objetivo de limitar o aquecimento global a bem abaixo de 2°C, com esforços para 1,5°C.
O Brasil ratificou o Acordo de Paris?;Sim, o Brasil ratificou o Acordo de Paris em 2016.
"O que são as ""Contribuições Nacionalmente Determinadas"" (NDCs)?";São as metas de redução de emissões que cada país apresenta voluntariamente no âmbito do Acordo de Paris.
O que é o Protocolo de Montreal (1987)?;É o tratado internacional para a proteção da camada de ozônio, que estabelece a eliminação gradual de substâncias que destroem o ozônio (CFCs).
O Brasil é signatário do Protocolo de Montreal?;Sim, e cumpriu as metas de eliminação de CFCs.
O que é a Convenção sobre Diversidade Biológica (CDB - 1992)?;É o tratado da ONU que estabelece a conservação da biodiversidade, o uso sustentável de seus componentes e a repartição justa e equitativa dos benefícios.
O que é o Protocolo de Cartagena sobre Biossegurança (2000)?;É um protocolo à CDB que regula o movimento transfronteiriço de organismos vivos modificados (OGMs), com base no princípio da precaução.
O que é o Protocolo de Nagoya (2010)?;É um protocolo à CDB que regula o acesso a recursos genéticos e a repartição justa e equitativa dos benefícios derivados de sua utilização.
O Brasil ratificou o Protocolo de Nagoya?;Sim, o Brasil ratificou em 2020.
O que é a Convenção-Quadro das Nações Unidas sobre Mudança do Clima (UNFCCC)?;É o tratado que estabelece a estrutura para a cooperação internacional para combater a mudança climática, adotado em 1992.
O que é o Painel Intergovernamental sobre Mudanças Climáticas (IPCC)?;É o órgão científico da ONU que avalia a ciência da mudança climática, fornecendo relatórios para a UNFCCC.
O Brasil participa do IPCC?;Sim, com cientistas brasileiros.
O que é a Convenção de Estocolmo sobre Poluentes Orgânicos Persistentes (POPs - 2001)?;É o tratado que visa eliminar ou restringir a produção e uso de poluentes orgânicos persistentes (ex.: DDT, PCBs).
O Brasil ratificou a Convenção de Estocolmo?;Sim.
O que é a Convenção de Basileia sobre Controle de Movimentos Transfronteiriços de Resíduos Perigosos (1989)?;É o tratado que regula o movimento transfronteiriço de resíduos perigosos, proibindo sua exportação para países sem capacidade de manejo.
O Brasil é signatário da Convenção de Basileia?;Sim.
O que é a Convenção de Roterdã (1998)?;É o tratado que estabelece o procedimento de consentimento prévio informado (PIC) para a importação de produtos químicos e agrotóxicos perigosos.
O Brasil ratificou a Convenção de Roterdã?;Sim.
"O que é o princípio da ""responsabilidade ambiental internacional""?";É a obrigação de um Estado de reparar os danos ambientais causados a outro Estado ou à comunidade internacional, com base no DIMA.
O que é o Direito Internacional do Mar (DIM)?;É o ramo do Direito Internacional que regula o uso dos mares e oceanos, a delimitação de espaços marítimos, a navegação, a exploração de recursos e a proteção do ambiente marinho.
Qual é a principal convenção do Direito Internacional do Mar?;A Convenção das Nações Unidas sobre o Direito do Mar (CNUDM), adotada em 1982, em Montego Bay, Jamaica.
A CNUDM entrou em vigor em que data?;Em 16 de novembro de 1994.
